Filnavn: kejseren.txt
6 stand
6 youth
6 sleep
6 sneezing
6 told
6 ear
6 wow
6 dreadfully
6 sing
6 exclaimed
6 bread-and-butter
5 since
5 won
5 true
5 lay
5 advice
5 quadrille
5 stole
5 twice
5 hot
5 sleepy
5 across
5 curiosity
5 passed
5 likely
5 aloud
5 walk
5 walking
5 ears
5 sadly
5 along
5 shut
5 simple
5 cut
5 finger
5 ventured
5 nervous
5 altogether
5 remembered
5 happens
5 sha'n't
5 pair
5 nine
5 kid
5 dropped
5 usual
5 let's
5 wrong
5 sounded
5 strange
5 seems
5 stay
5 case
5 number
5 swam
5 nearer
5 speaking
5 shrill
5 notice
5 what's
5 prizes
5 pocket
5 only
5 confusion
5 reply
5 finish
5 sighed
5 temper
5 young
5 moved
5 swim
5 direction
5 interesting
5 does
5 chimney
5 shouldn't
5 taking
5 shriek
5 dead
5 instantly
5 surprise
5 lizard
5 height
5 quietly
5 hookah
5 man
5 often
5 eggs
5 consider
5 meant
5 waving
5 treacle
5 piece
5 faces
5 procession
5 rule
5 knee
5 whispered
5 flamingo
5 executioner
5 school
5 too
5 jurymen
4 part
4 night
4 taste
4 comes
4 moving
4 cry
4 rabbit-hole
4 caucus-race
4 tea-party
4 croquet-ground
4 list
4 panting
4 alarm
4 quarrelling
4 shouting
4 pictures
4 worth
4 natural
4 sides
4 fear
4 managed
4 stairs
4 they'll
4 fallen
4 earth
4 several
4 sound
4 girl
4 miss
4 bats
4 sometimes
4 passage
4 tiny
4 alas
4 second
4 led
4 shoulders
4 paper
4 taught
4 deeply
4 while
4 reach
4 severely
4 box
4 person
4 care
4 curiouser
4 boots
4 yourself
4 savage
4 to-day
4 morning
4 age
4 mabel
4 besides
4 puzzling
4 twelve
4 capital
4 alone
4 shrinking
4 escape
4 water
4 digging
4 french
4 paws
4 says
4 pale
4 animals
4 duck
4 uncomfortable
4 argument
4 wanted
4 frowning
4 means
4 solemnly
4 pointing
4 confused
4 thimble
4 short
4 dare
4 bowed
4 judge
4 impatiently
4 tongue
4 ca'n't
